Annual CO2 emissions (per capita),Coal per capita (kWh),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Entity,Exports of goods and services (constant 2015 US$),GDP per capita growth (annual %),Gas per capita (kWh),Imports of goods and services (constant 2015 US$),Oil per capita (kWh),Population (historical estimates),Renewables(TWh_growth_equivalent)
18.2595,27416.060546875,1662,Australia,215249108992,0.5953537225723267,14311.3837890625,238652555264,23440.0390625,22154687,5.895107269287109
0.3659,58.7886848449707,166128,Bangladesh,22616838144,4.390963077545166,1304.670166015625,32006596608,319.5714111328125,147575433,0.9148082733154297
6.295,14858.9677734375,1870627,China,,10.102832794189453,795.3916015625,,3809.50439453125,1368810604,329.151611328125
1.3594,2732.793212890625,1459403,India,326415122432,7.0423479080200195,477.7001037597656,417631797248,1484.72607421875,1234281163,24.136871337890625
1.8688,1903.318115234375,191872,Indonesia,151574003712,4.812273025512695,1821.3958740234375,147638861824,3271.8037109375,241834226,17.55145263671875
9.4507,10523.6484375,32373,Japan,681081110528,4.079223155975342,7774.61376953125,640148045824,18971.763671875,128542349,57.572357177734375
7.6551,6088.3935546875,8882,Malaysia,193649082368,5.623556137084961,13479.5380859375,159953141760,12723.2490234375,28208028,-2.002635955810547
8.0162,3677.74853515625,311,New Zealand,42271420416,0.4055318832397461,10013.58984375,37426683904,19186.373046875,4370060,4.07623291015625
0.8828,868.8453369140625,77603,Philippines,63945445376,5.561000823974609,375.1279296875,68417359872,1843.385498046875,93966784,-6.861236572265625
12.021,18107.732421875,15833,South Korea,485731041280,6.274019718170166,9085.8603515625,429174095872,25713.638671875,49545638,11.972753524780273
0.6441,34.40020751953125,15217,Sri Lanka,13232358400,7.279058933258057,0,15525637120,2614.8134765625,20261738,4.969297409057617
11.6506,19507.048828125,10165,Taiwan,,,6675.89453125,,24452.810546875,23187556,2.135652542114258
3.8009,2671.10107421875,38739,Thailand,229561942016,6.988267421722412,6429.8740234375,200779038720,8579.8896484375,67195032,-0.6823501586914062
1.5754,1924.086181640625,77631,Vietnam,91757428736,5.364173412322998,1031.393798828125,96848846848,2282.2255859375,87967655,-4.470909118652344
4.7927,6036.4541015625,6576174,World,17658835632128,3.2522518634796143,4540.5029296875,17534948474880,6884.31689453125,6957137521,898.7421875
