Annual CO2 emissions (per capita),Coal per capita (kWh),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Entity,Exports of goods and services (constant 2015 US$),GDP per capita growth (annual %),Gas per capita (kWh),Imports of goods and services (constant 2015 US$),Oil per capita (kWh),Population (historical estimates),Renewables(TWh_growth_equivalent),Year
15.1173,22261.7890625,,Australia,46424809472,1.7870804071426392,7585.8818359375,31125749760,25209.591796875,14588400,-2.4101943969726562,1980
15.574,22544.05078125,,Australia,44170866688,1.711915135383606,8116.83251953125,34068987904,24525.4375,14777241,1.2426986694335938,1981
15.6148,22476.533203125,,Australia,45214396416,1.6142079830169678,7809.5498046875,38009532416,23822.97265625,14979203,-2.88336181640625,1982
14.7942,22149.6171875,,Australia,45449392128,-3.437117099761963,8363.1318359375,34801565696,21065.544921875,15194644,-2.183582305908203,1983
15.3257,23075.87109375,,Australia,48917835776,3.4183454513549805,8125.26708984375,36885946368,21459.869140625,15423156,2.995716094970703,1984
15.3858,23502.71875,,Australia,56469803008,3.822749137878418,8551.8017578125,43024220160,21246.666015625,15663672,2.456531524658203,1985
15.0609,23715.044921875,,Australia,58606583808,2.339808940887451,9192.935546875,42922283008,20615.384765625,15917580,0.2649688720703125,1986
15.8104,24306.818359375,,Australia,64481550336,0.9999935030937195,9231.4853515625,40893435904,20803.720703125,16183159,-1.1863670349121094,1987
15.8575,25149.3671875,,Australia,69930786816,4.027570724487305,9299.2333984375,45482876928,21393.60546875,16452258,2.964111328125,1988
16.6029,25963.78125,,Australia,70656221184,2.1212592124938965,9984.189453125,56800157696,21928.708984375,16713989,0.013336181640625,1989
16.4714,26198.791015625,2555,Australia,73955737600,2.051928997039795,9891.12890625,59990630400,22103.26171875,16960600,1.33453369140625,1990
16.3981,26369.056640625,2480,Australia,82280808448,-1.656572699546814,9355.9150390625,56562049024,21095.810546875,17189235,2.5319671630859375,1991
16.4538,26201.220703125,2461,Australia,90060283904,-0.7972689270973206,9560.271484375,58540691456,21293.1328125,17402179,0.7132644653320312,1992
16.5495,26068.4765625,2411,Australia,96734240768,3.020731210708618,9798.9765625,62401359872,21703.537109375,17603211,1.3306503295898438,1993
16.8601,26309.138671875,2413,Australia,105912811520,2.8856358528137207,10763.0576171875,67082092544,22225.951171875,17798526,-0.5975990295410156,1994
17.1189,26908.490234375,2370,Australia,110586896384,2.587043285369873,10749.4482421875,78045634560,23774.5546875,17993083,-1.1073532104492188,1995
17.3911,27706.345703125,2361,Australia,121601851392,2.498884677886963,10711.072265625,81703190528,24135.94921875,18189274,1.3974037170410156,1996
17.7901,28794.9296875,2318,Australia,134836019200,2.7523202896118164,10404.2470703125,89787392000,24259.140625,18387205,0.13029861450195312,1997
18.2222,29756.4140625,2261,Australia,141010681856,3.5293490886688232,10596.271484375,98986819584,23993.626953125,18587027,-0.14301300048828125,1998
18.4477,31266.615234375,2202,Australia,143711469568,3.7445907592773438,10737.625,104047910912,24278.763671875,18788187,1.6860008239746094,1999
18.5252,31154.146484375,2149,Australia,157927178240,2.6808650493621826,10823.341796875,116583112704,24009.85546875,18991434,0.055416107177734375,2000
18.7789,30513.21875,2105,Australia,171575476224,0.6716929078102112,11549.72265625,115447349248,23813.130859375,19194676,-1.1497650146484375,2001
18.922,30867.521484375,2049,Australia,170733568000,2.7526795864105225,11759.38671875,117004550144,23811.45703125,19401366,1.8346023559570312,2002
19.0191,31390.9609375,1955,Australia,171593875456,1.845765471458435,11717.3349609375,132446470144,23453.736328125,19624163,1.8881568908691406,2003
19.4554,32290.357421875,1840,Australia,173874380800,3.00431489944458,11797.791015625,150324985856,23707.44140625,19879654,2.05303955078125,2004
19.2086,31628.76171875,1768,Australia,179889651712,1.807784080505371,11526.591796875,169114845184,23723.3125,20178543,4.144966125488281,2005
19.3554,31934.583984375,1738,Australia,185265340416,1.222561001777649,12638.9365234375,183424057344,24049.234375,20526300,1.4304466247558594,2006
19.2159,31066.740234375,1738,Australia,192965787648,3.122288703918457,13874.2314453125,202433757184,24204.53515625,20916339,-2.3705596923828125,2007
19.2034,31749.583984375,1727,Australia,200722104320,1.5219695568084717,13376.4140625,231758118912,24034.73046875,21332293,-3.5075416564941406,2008
18.4508,30107.384765625,1682,Australia,205575340032,-0.21120114624500275,13395.537109375,223155093504,23177.978515625,21750852,2.78961181640625,2009
