Coal per capita (kWh),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),country,Gas per capita (kWh),Oil per capita (kWh),Population (historical estimates),year,death_rate,fossil_use(kWh)
26198.79102,2555,Australia,9891.128906,22103.26172,16960600,1990,0.000150643,9.87E+11
26369.05664,2480,Australia,9355.915039,21095.81055,17189235,1991,0.000144276,9.77E+11
26201.2207,2461,Australia,9560.271484,21293.13281,17402179,1992,0.000141419,9.93E+11
26068.47656,2411,Australia,9798.976563,21703.53711,17603211,1993,0.000136964,1.01E+12
26309.13867,2413,Australia,10763.05762,22225.95117,17798526,1994,0.000135573,1.06E+12
26908.49023,2370,Australia,10749.44824,23774.55469,17993083,1995,0.000131717,1.11E+12
27706.3457,2361,Australia,10711.07227,24135.94922,18189274,1996,0.000129802,1.14E+12
28794.92969,2318,Australia,10404.24707,24259.14063,18387205,1997,0.000126066,1.17E+12
29756.41406,2261,Australia,10596.27148,23993.62695,18587027,1998,0.000121644,1.20E+12
31266.61523,2202,Australia,10737.625,24278.76367,18788187,1999,0.000117201,1.25E+12
31154.14648,2149,Australia,10823.3418,24009.85547,18991434,2000,0.000113156,1.25E+12
30513.21875,2105,Australia,11549.72266,23813.13086,19194676,2001,0.000109666,1.26E+12
30867.52148,2049,Australia,11759.38672,23811.45703,19401366,2002,0.000105611,1.29E+12
31390.96094,1955,Australia,11717.33496,23453.73633,19624163,2003,9.96E-05,1.31E+12
32290.35742,1840,Australia,11797.79102,23707.44141,19879654,2004,9.26E-05,1.35E+12
31628.76172,1768,Australia,11526.5918,23723.3125,20178543,2005,8.76E-05,1.35E+12
31934.58398,1738,Australia,12638.93652,24049.23438,20526300,2006,8.47E-05,1.41E+12
31066.74023,1738,Australia,13874.23145,24204.53516,20916339,2007,8.31E-05,1.45E+12
31749.58398,1727,Australia,13376.41406,24034.73047,21332293,2008,8.10E-05,1.48E+12
30107.38477,1682,Australia,13395.53711,23177.97852,21750852,2009,7.73E-05,1.45E+12
27416.06055,1662,Australia,14311.38379,23440.03906,22154687,2010,7.50E-05,1.44E+12
26269.50586,1674,Australia,14550.41699,24272.79492,22538002,2011,7.43E-05,1.47E+12
24208.41211,1674,Australia,14390.98828,24511.88672,22903951,2012,7.31E-05,1.45E+12
22629.2793,1686,Australia,14910.36328,24856.55664,23254912,2013,7.25E-05,1.45E+12
22117.26367,1725,Australia,15773.97168,24386.24414,23596426,2014,7.31E-05,1.47E+12
22580.64258,1761,Australia,16210.50781,23841.16406,23932499,2015,7.36E-05,1.50E+12
22258.94141,1725,Australia,15608.68164,23563.85742,24262710,2016,7.11E-05,1.49E+12
21213.50391,1697,Australia,15096.58496,24388.40625,24584619,2017,6.90E-05,1.49E+12
20438.55469,1812,Australia,14767.4082,24504.27734,24898153,2018,7.28E-05,1.49E+12
19298.80273,1907,Australia,17427.26953,23972.92578,25203200,2019,7.57E-05,1.53E+12
31.71975136,189795,Bangladesh,443.3570557,215.4444275,103171957,1990,0.001839599,71242427115
9.908267975,179652,Bangladesh,446.0973206,195.293869,105599125,1991,0.001701264,68776652830
9.097324371,176502,Bangladesh,475.721405,213.0345612,107983708,1992,0.001634524,75356785954
3.318562984,172532,Bangladesh,521.0892334,233.5207672,110350641,1993,0.001563489,83637902825
3.042078733,168986,Bangladesh,540.9523315,238.2240601,112737684,1994,0.001498931,88185498728
32.40254974,168346,Bangladesh,585.4248657,302.6266174,115169933,1995,0.001461718,1.06E+11
17.39143372,164776,Bangladesh,615.0846558,302.6477051,117649927,1996,0.001400562,1.10E+11
31.25034714,161147,Bangladesh,591.9807129,340.1859131,120160571,1997,0.001341097,1.16E+11
8.812736511,158852,Bangladesh,626.5299072,367.2539673,122682818,1998,0.001294819,1.23E+11
4.271683216,157848,Bangladesh,669.4129028,320.9837952,125189655,1999,0.001260871,1.25E+11
30.05247498,159196,Bangladesh,709.567688,309.3246765,127657862,2000,0.001247052,1.34E+11
31.27820587,158355,Bangladesh,779.7147217,362.5736389,130088709,2001,0.001217285,1.53E+11
32.07426071,160499,Bangladesh,805.5021362,357.5263977,132478076,2002,0.001211514,1.58E+11
30.1437664,162577,Bangladesh,851.5686035,364.239502,134791598,2003,0.001206136,1.68E+11
29.70324898,163094,Bangladesh,900.8361206,338.2044983,136986429,2004,0.001190585,1.74E+11
60.04217911,165735,Bangladesh,953.9547119,335.3305664,139035505,2005,0.001192034,1.88E+11
90.00685883,168250,Bangladesh,1019.248596,334.3923645,140921154,2006,0.00119393,2.03E+11
72.5597229,168350,Bangladesh,1075.026733,312.3464966,142660381,2007,0.001180075,2.08E+11
75.50762939,165928,Bangladesh,1134.85437,313.7306213,144304164,2008,0.001149849,2.20E+11
93.30030823,165123,Bangladesh,1284.684814,290.0913391,145924795,2009,0.001131562,2.43E+11
58.78868484,166128,Bangladesh,1304.670166,319.5714111,147575433,2010,0.001125716,2.48E+11
86.52288055,158413,Bangladesh,1311.833374,408.2610474,149273134,2011,0.001061229,2.70E+11
70.57423401,152624,Bangladesh,1412.944946,430.7019958,151005733,2012,0.001010717,2.89E+11
96.58246613,153263,Bangladesh,1437.063599,416.8160095,152761413,2013,0.001003283,2.98E+11
57.29707336,157813,Bangladesh,1489.946899,462.6806641,154517385,2014,0.001021328,3.11E+11
168.6466675,158098,Bangladesh,1654.593384,484.2402649,156256287,2015,0.001011786,3.61E+11
122.5800476,160162,Bangladesh,1674.352661,524.1911011,157977151,2016,0.00101383,3.67E+11
136.0591888,167502,Bangladesh,1665.316284,582.7672119,159685421,2017,0.00104895,3.81E+11
147.5200653,170422,Bangladesh,1699.687622,655.321228,161376713,2018,0.001056051,4.04E+11
236.4048767,173515,Bangladesh,1897.2771,623.3878784,163046173,2019,0.001064208,4.50E+11
5212.509277,1895767,China,131.0098724,1083.006348,1176883681,1990,0.001610836,7.56E+12
5393.11084,1896715,China,130.8733673,1156.129517,1192897277,1991,0.001590007,7.97E+12
5578.381836,1898568,China,131.8808136,1239.660156,1206711243,1992,0.001573341,8.39E+12
5883.045898,1893795,China,138.6334229,1365.074585,1218817059,1993,0.001553798,9.00E+12
6212.636719,1874478,China,143.8767242,1374.480469,1230020026,1994,0.001523941,9.51E+12
6234.76709,1854833,China,144.0829468,1471.190796,1240920539,1995,0.001494723,9.74E+12
6467.845703,1844862,China,149.6939392,1616.307251,1251636178,1996,0.00147396,1.03E+13
6285.211426,1823150,China,156.8826141,1760.342651,1261996017,1997,0.001444656,1.04E+13
6188.54248,1805101,China,160.5081024,1798.445435,1271982349,1998,0.001419124,1.04E+13
